,animal_id,movement_type,time,bug_speed,bug_type,bug_size,strike_id,exit_hole,strike_x,strike_y,arena,trial_id,proj_strike,is_hit,miss_distance,proj_bug_x,day,proj_strike_x,proj_strike_y
646,PV42,jump_up,2023-05-17 16:04:12.625,3.959719672291576,cockroach,153,2850,left,1245.0,787.0,msi-regev,11243,"[-76.0, 10.0]",True,1.3694109142876505,-64.0,2023-05-17,-1.3577083333333333,10.0
647,PV42,jump_up,2023-05-17 17:03:19.507,4.1355120952229685,cockroach,144,2852,left,760.0,793.0,msi-regev,11251,"[-55.0, 4.0]",True,0.9851471412258432,-72.0,2023-05-17,-0.9825520833333333,4.0
648,PV42,jump_up,2023-05-17 18:02:52.858,4.197935455578576,cockroach,153,2854,left,528.0,788.0,msi-regev,11261,"[-55.0, 9.0]",True,1.0662028741254652,-76.0,2023-05-17,-0.9825520833333333,9.0
649,PV42,jump_up,2023-05-18 13:02:24.047,4.179081688060609,cockroach,141,2857,left,1127.0,786.0,msi-regev,11277,"[-78.0, 11.0]",True,1.4072257851051326,-64.0,2023-05-18,-1.3934374999999999,11.0
651,PV42,jump_up,2023-05-18 17:01:55.217,4.108446013159229,cockroach,146,2860,left,1281.0,818.0,msi-regev,11315,"[-64.0, -21.0]",True,1.2033093214237034,-88.0,2023-05-18,-1.1433333333333333,-21.0
652,PV42,jump_up,2023-05-18 16:01:59.274,4.186032200851297,cockroach,146,2861,left,357.0,783.0,msi-regev,11305,"[-64.0, 14.0]",True,1.1703688330159594,-68.0,2023-05-18,-1.1433333333333333,14.0
653,PV42,jump_up,2023-05-18 16:04:41.960,4.211873697510262,cockroach,146,2864,left,534.0,819.0,msi-regev,11311,"[-73.0, -21.999999999999886]",True,1.3620500071204074,-68.0,2023-05-18,-1.3041145833333334,-21.999999999999886
654,PV42,jump_up,2023-05-18 17:01:02.620,4.198278526240732,cockroach,154,2866,left,842.0,819.0,msi-regev,11313,"[-49.0, -22.0]",True,0.9595460016009487,-56.0,2023-05-18,-0.8753645833333333,-22.0
655,PV42,jump_up,2023-05-18 16:05:07.810,4.159878458872892,cockroach,149,2865,left,1164.0,796.0,msi-regev,11312,"[-75.0, 1.0]",True,1.3399628419294827,-48.0,2023-05-18,-1.33984375,1.0
656,PV42,jump_up,2023-05-15 16:04:05.520,3.9785457190355715,cockroach,151,2827,left,738.0,794.0,msi-regev,10960,"[-61.0, 3.0]",True,1.0910566665038848,-160.0,2023-05-15,-1.0897395833333332,3.0
658,PV42,jump_up,2023-05-16 11:02:51.541,4.166129546110125,cockroach,155,2837,left,864.0,866.0,msi-regev,11058,"[-88.0, 14.0]",True,1.5918536682523527,-52.0,2023-05-16,-1.5720833333333333,14.0
659,PV42,jump_up,2023-05-16 15:03:20.831,4.006725980521746,cockroach,140,2843,left,629.0,793.0,msi-regev,11099,"[-84.0, 4.0]",True,1.5023254254747131,-184.0,2023-05-16,-1.5006249999999999,4.0
660,PV42,jump_up,2023-05-16 15:03:20.299,4.058723357257328,cockroach,140,2842,left,766.0,791.0,msi-regev,11099,"[-97.0, 6.0]",False,1.8075038997924062,-60.0,2023-05-16,-1.7328645833333334,6.0
